video_id,titulo_video,autor,texto,likes,fecha,respuestas,sentimiento,sentimiento_score,sentimiento_es
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@juventinosanchez3903,Eso se merece la gente por elegir a gobernantes corruptos e ineptos.,2,2026-06-07T03:42:27Z,0,NEG,0.9826,Negativo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@violintumbado,😝😝gran comediante regio estilo gobernador jajajaja,3,2026-06-06T00:38:32Z,0,POS,0.6488,Positivo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@AnonPanzer,"Quejense de Samuel y de Nuevo León.<br>Si nosotros Damos Pena Agena, no me quiero Imaginar como le iran a las Pobres Almas Desgraciadas en la Comunista y Chavista Ciudad de México, ahora parte de la Republica Bolivariana.",2,2026-06-06T17:25:17Z,0,NEG,0.9713,Negativo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@ArturoEspinoza-h9z,Samuel el mentirosillo 😂😂😂😂😂,1,2026-06-07T05:34:56Z,0,NEG,0.6396,Negativo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@Emi_loqd729,Esperemos que acá en CDMX se lleven una buena primera impresión (no se en que condiciones este el Estadio Azteca o otras zonas de la ciudad porque ni salgo jaja),0,2026-06-06T22:48:33Z,0,NEU,0.7034,Neutral
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@tutimdz,Ridículo pedazo de gobernador 🤦🏻‍♀️!!!,0,2026-06-07T05:17:22Z,0,NEG,0.9179,Negativo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@armandosalcido7123,Es correcto,0,2026-06-07T16:24:25Z,0,NEU,0.5301,Neutral
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@dianarojas2765,El narcogobierno destruyendo y saqueando al pais.,0,2026-06-07T03:29:56Z,0,NEG,0.9304,Negativo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@Luisfransiscoislasponce,Pero si en la cdmx,0,2026-06-07T04:28:56Z,0,NEU,0.7488,Neutral
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@saulgonzalezgarcia,Da asco Nuevo León. Da asco el prianmc. Da vergüenza este estado sumido en la corrupcion. Da asco morena también.,3,2026-06-05T03:49:45Z,3,NEG,0.9793,Negativo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@ramirosalinaa7502,Samuel  se vio mal asiendo  eso para mi gusto serio mal ❤,0,2026-06-07T02:50:18Z,0,NEG,0.9733,Negativo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@COSMVG,Hablen solo de fútbol vergas,0,2026-06-06T22:44:03Z,0,NEG,0.6037,Negativo
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,@PedroPardo-s4d,No pudia faltar q salieran el peor enimego del mexicano y x supuesto q hablo de otro mexicano,0,2026-06-06T22:21:45Z,0,NEG,0.9156,Negativo
