video_id,titulo,canal,fecha,descripcion,vistas,likes,comentarios_total,duracion
tY4vM5rz_H4,MORENA DENUNCIA A  ADRIÁN DE LA GARZA,Carlos Jara Madrid ,2026-06-05T03:15:25Z,"Las aspiraciones del priista Adrián de la Garza rumbo a la gubernatura de Nuevo León enfrentan nuevos cuestionamientos, ...",581,16,1,PT1M25S
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",Polo Puga,2026-06-05T13:48:01Z,"GRACIAS POR TU APOYO! Ponle un like al vídeo si mi trabajo te gusta, comenta y comparte, es completamente gratis!",940,351,10,PT8M22S
6VaRNvYGHoU,🚨 Morena denuncia a Adrián de la Garza ante la FGR por el caso Next Energy,SDPNoticias,2026-06-03T23:34:01Z,El Comité Estatal de Morena en Nuevo León presentó una denuncia formal ante la Fiscalía General de la República contra el ...,2024,98,0,PT1M10S
Wi2OK3yezkg,Fútbol inclusivo en Monterrey; Adrián de la Garza presenta las &quot;Canchas Desiguales&quot;,POSTAmx,2026-06-04T00:29:09Z,"Monterrey se reporta más que listo para el Mundial 2026. ⚽️   El alcalde Adrián de la Garza inauguró el espacio ""Canchas ...",507,12,0,PT1M30S
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,LA OCTAVA,2026-06-03T22:09:31Z,"La presidenta de Morena en Nuevo León, Anabel Alcocer, encabezó la presentación de la denuncia en la FGR por un posible ...",7685,266,24,PT6M47S
6lr4Ms2EfEM,PRI y MC: El Mayor Robo de la Historia de Nuevo León #escándalo #méxico,Pensar sin Ruido,2026-06-05T15:54:38Z,"Información de noticias, política, tecnología, libros y tendencias. Información de noticias, política, tecnología, libros y tendencias.",306,35,1,PT1M
tPdCm5LfeSw,Adrián de la Garza inaugura el Mini Estadio Mundialista Monterrey 2026,POSTAmx,2026-06-02T05:10:23Z,"Más de mil equipos, cientos de familias y un solo objetivo: levantar el campeonato. Así se vivió la inauguración del Mini Estadio ...",625,6,0,PT1M37S
e0xctrieUag,Círculo Magenta | Morena va por NL,Código Magenta,2026-06-04T00:26:36Z,"La presión que Morena ejerce sobre los principales perfiles rumbo a 2027, empieza a leerse como algo más que una ofensiva ...",41644,2476,52,PT1M29S
0QEmDF8Yb80,La Entrevista | Adrián de la Garza: Preparado para los nietos   #elecciones2024mx,POSTAmx,2024-06-08T21:38:37Z,"Adrián de la Garza, virtual ganador a la alcaldía de Monterrey, habla sobre cómo criar hijos exitosos en esta etapa de nuestras ...",4765,42,1,PT31S
0PDjWJU_Ny4,"Ep. 01 | Adrian de la Garza: Su Historia, Sus Retos y Su Día a Día - Platicando de Más",Platicando De Más,2024-05-14T22:15:00Z,Nos sumergimos en una charla profunda con Adrian de la Garza en ➕! Explora su trayectoria política desde sus inicios hasta ...,251,8,0,PT47M49S
QWh6VPgS108,"Las Noticias - Entrevista con Adrián de la Garza, Procurador de Justicia en el Estado",Televisa Monterrey,2014-03-19T02:46:07Z,Múltiples capturas de homicidas en los últimos días.,1199,7,1,PT9M16S
FKFksitKjXQ,Acude Adrián de la Garza a reunión de seguridad con Claudia Sheinbaum,efecto noticias,2026-03-11T02:39:59Z,Acude Adrián de la Garza a reunión de seguridad con Claudia Sheinbaum El presidente municipal Adrián de la Garza asistió ...,726,12,0,PT1M3S
QO4uk5wtbe8,Corrupción al estilo vieja política: Adrián de la Garza y su contrato millonario con Next Energy.,Movimiento Ciudadano,2026-02-03T21:03:15Z,"Descripción y copy redes: ¿Sabes qué conecta al alcalde del PRI Adrián de la Garza, con la empresa Next Energy?   Empieza ...",1978430,20,5,PT1M6S
xgRiSqtNo9w,Así es como Luis Donaldo Colosio resolvió la gran simulación de Adrián de la Garza. 👆🏼#NextEnergy,Movimiento Ciudadano,2026-02-21T02:30:34Z,,4288,47,3,PT1M14S
DqNEpqc5rnY,Ep. 160 Dile+: Adrian de la Garza,Altavoz MX,2025-09-26T07:04:31Z,"En este episodio César Ulloa y Adrian de la Garza, Presidente Municipal De Monterrey, N.L.. Sigue nuestras redes sociales: ...",39159,24,4,PT30M14S
JjKd6Ud-rXU,Hablamos de SALUD y EJERCICIO con Adrián de la Garza,Prohibido Estacionarse,2025-11-18T00:00:56Z,Bienvenidos a un episodio más! Tuvimos el honor de tener a Adrián de la Garza en el Podcast y compartió tips para todos ...,9976,271,28,PT1H48M51S
OyagH5S9ZTw,¿Adrián de la Garza gobernador con MORENA? Esto nos dijo #GrilloSada en el Podcast de Real Politik,CarlosSanchezMX,2025-05-28T00:39:23Z,,18890,53,3,PT41S
RNpoUHqbct8,Latinus Exhibe Las tranzas de Adrian de la Garza 😱,Pejejito 4T,2026-02-15T18:12:53Z,,93,45,3,PT3M11S
BQOx8U2Mjms,Adrián de la Garza habla sobre el proceso penal de Karina &quot;N&quot;,POSTAmx,2026-03-04T02:24:59Z,"El alcalde de Monterrey, Adrián de la Garza, toma postura ante el proceso penal que lleva la secretaria de Desarrollo Humano ...",1420,7,0,PT53S
MJlNtMt3ztE,FEPADE ya comenzó investigación contra Adrián de la Garza por la tarjeta rosa,MILENIO,2021-05-08T11:40:56Z,El titular de la FEPADE ante el llamado del Presidente ya comenzó una investigación en contra del candidato Adrián de la Garza ...,2647,46,22,PT1M1S
