video_id,titulo,canal,fecha,descripcion,vistas,likes,comentarios_total,duracion
Zlktq3LPCE8,A Samuel Garcia Ya No Lo Soportan Ni Los Japoneses #Monterrey #mundial   #historia #chisme #noticias,México Relativo,2026-06-04T23:59:01Z,,16608,218,20,PT1M12S
vvHnGUg6BtA,INVESTIGAN A SAMUEL GARCÍA | #shorts,Atypical Te Ve,2026-06-04T13:00:33Z,,63040,3473,100,PT1M7S
8h8xzWPIQIQ,Ya llegamos a El Barrial en Santiago,Samuel García,2026-06-06T00:42:00Z,Para ver a mis compadres de la selección japonesa arrancar con los entrenamientos para la Copa Mundial de la FIFA™. ¡Ánimo ...,5159,111,8,PT44S
-LJh-Pe9Gic,FIFA frena a Gobernador Samuel García por Intentar Usar Colores Partidistas en Fan Fest,NMás,2026-06-06T05:37:12Z,"El gobernador de Nuevo León, Samuel García, tensó la relación con la FIFA, luego de que intentara incorporar los colores de su ...",136372,862,334,PT52S
FTPwyBpuXos,“Que chulada”: Samuel García recibe a Selección de Japón con sombreros,El Financiero Bloomberg,2026-06-03T17:53:40Z,"Somos más que economía y finanzas, en El Financiero Bloomberg nos interesan tus historias. Visítanos en ...",18064,190,24,PT27S
hRegBExeI2w,🚨⚠️ ¡Samuel García HUMILLADO por la FIFA! 😱 Prometió la Naranja Mecánica en Monterrey,ClaudiaSheinBaumPardoClips,2026-06-04T21:40:00Z,SamuelGarcía #Mundial2026 #Monterrey #FútbolPolítica #PolémicaMundial #MikasMundialistas #EstadioBBVA #FMFCorrupción ...,7170,135,1,PT1M7S
6VV1p7ZUrC0,"FGR LO AGARRA EN CURVA ¡SAMUEL GARCÍA AL DESCUBIERTO! MÁS DE 15 MDP, NIEGAN AMPARO A CABEZA DE VACA",Mercado Político,2026-06-06T16:53:51Z,Gracias por tu suscripción y apoyo!!! #cecyvillalpando #mercadopolitico #claudiasheinbaum.,8203,1058,58,PT17M53S
Mk6h8zUvArk,EL NUEVO PARQUE DEL AGUA. 💧 🦁,Samuel García,2026-06-07T02:22:01Z,"Próximamente Nuevo León tendrá un nuevo gran parque para toda la ciudad. Un nuevo parque que cuidará el agua, conservará ...",3098,84,10,PT2M19S
1s6A-Mr1J0I,#ENVIVO SAMUEL GARCÍA sancionado por la FIFA - AMLO REGRESA,Alejandro Helguera | VOCES,2026-06-07T02:34:16Z,ENVIVO SAMUEL GARCÍA sancionado por la FIFA - AMLO REGRESA.,17412,1616,68,PT1H24M54S
lGpgA1HbuG0,¡JAPÓN HUMILLA A SAMUEL GARCÍA!,El Chapucero,2026-06-05T18:03:20Z,SUSCRÍBETE AL CANAL SECUNDARIO DEL CHAPUCERO! AQUÍ HAY MÁS VIDEOS ORIGINALES ...,411226,13249,471,PT1M7S
OnWYoPCDsNI,Inauguramos la primera etapa del Nuevo Parque del Agua.,Samuel García,2026-06-07T05:15:02Z,Un legado para Nuevo León que nace de nuestra resiliencia y se queda para las futuras generaciones. ¡A cuidarlo! #fyp ...,1185,65,13,PT1M13S
f0iE1QtRoM0,Ya estamos a 6 DÍAS,Samuel García,2026-06-06T05:01:38Z,Y en Nuevo León estamos listos para recibir a todas las selecciones y a todo el mundo en el Mundial Más Norteño. ¡Ánimo!,1202,42,2,PT1M14S
fjfStU13ZPg,Samuel García pide mes de pausa y se declara en &#39;modo party&#39;| Monterrey,Grupo REFORMA,2026-06-06T22:41:05Z,"Samuel García dice disfrutar y desconectarse del trabajo durante junio, y entre bromas, que no contestará su celular y delegará ...",758,6,4,PT36S
omhwk2G0n80,"Nuevo León estrena el Parque del Agua, un gigante verde con visión sustentable",POSTAmx,2026-06-07T04:37:09Z,"Ya es una realidad! Samuel García y Mariana Rodríguez inauguraron la primera etapa del Parque del Agua, un espacio que ...",562,12,1,PT1M19S
_fG7rabdS5I,"Inauguramos el nuevo corredor Cerro de La Silla, ¡agárrense!",Samuel García,2026-06-06T23:12:47Z,"Pura pierna, papá! #NuevoLeón #SamuelGarcía #CerrodelaSilla #Senderismo.",1461,81,6,PT2M7S
esBAmYrdUlk,"Samuel García Pone Colores de MC al Fan Fest, FIFA lo Frena",NMás,2026-06-06T05:45:12Z,"El gobernado de Nuevo León, Samuel García, quiso ponerle los colores de Movimiento Ciudadano al Fan Fest, pero la FIFA lo ...",3994,107,2,PT44S
EQqVBUcXVwY,Samuel García visita entrenamiento de Japón en El barrial,NUESTA GENTE NL,2026-06-06T00:51:22Z,La Selección de Japón continúa su preparación en El Barrial tras cambiar de sede en Nuevo León. ⚽     #Japón #Mundial2026 ...,5568,113,5,PT38S
xrOY1SfgYc0,Gracias a todos y todas por su paciencia.,Samuel García,2026-06-06T23:13:19Z,"Gracias a ello hemos realizado obras históricas en Nuevo León, como esta rehabilitación del nuevo Andador Lineal en ...",1456,58,8,PT58S
dELnwTAGYmk,FIFA regaña a Samuel García y le ordena quitar los colores naranjas de todo Nuevo León,Beban News,2026-06-07T05:02:41Z,,846,32,1,PT2M1S
lFAih4GiEkM,"Yōkoso a Santiago, a Nuevo León y al Mundial Más Norteño.",Samuel García,2026-06-06T05:05:06Z,Muchas gracias por invitarme a su entrenamiento!,613,43,2,PT1M5S
