video_id,titulo_video,autor,texto,likes,fecha,respuestas
tY4vM5rz_H4,MORENA DENUNCIA A  ADRIÁN DE LA GARZA,@louvre266,"Bueno,es para buscar responsables y que se tomen acciones",0,2026-06-05T09:25:24Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@MariaTurpin,"Buenos días que bonita familia, gracias por informarnos con la verdad",1,2026-06-05T14:34:46Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@carmenreyna30,Tatiana Clouthier es la mejor y única carta de Morena que puede rescatar a NL del cochinero del MC PRIAN,2,2026-06-05T14:09:42Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@aliciaelizondo5177,Buenos días Polo puga,1,2026-06-05T14:07:15Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@ArturoCuriel-t5c,Y no les van hacer nada contra ellos,1,2026-06-05T13:58:49Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@franciscojaramillo4793,Saludos desde Indio California,0,2026-06-05T14:27:12Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@JoséManuel-r6l7m,puro Giro inesperado y nada de aser justicia es como los niños no viven de amor,0,2026-06-05T16:14:24Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@MariaTurpin,Thanks!,0,2026-06-05T14:35:43Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@Carmen-oc6cv,La misma compañía trabaja con Guanajuato de toooda la vida ..no si la oposición se sirve con la cuchara más grande. Y agusto como hay taaanta impunidad x eso se atreve y seguirán los muy ciiiinicooos,0,2026-06-05T15:49:10Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@ramonibarra8178,"Morena no creo que no tenga pruebas de todos los narcopoliticos prianistas que hay aquí en Nuevo León ,Coahuila y Durango y que todavía siguen operando¿Tendrán miedo?o les gusta que a ellos les digan narcopoliticos y narcoestado?",0,2026-06-05T14:37:24Z,0
uRjdMO1YuL8,"GIRO INESPERADO! ADRIAN DE LA GARZA CON UN PIE EN LA CARCEL, EMBARRAN A GOBERNADORA",@AngélicaCruzSosaCabrera,Todos cin TATI.,0,2026-06-05T16:05:06Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@mickimercado2268,Y luego se dirán perseguidos políticos estos ladrones.,4,2026-06-04T00:01:38Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@NormaOrtega-u6u,ME PARECE MUY BIEN.<br>BRAVO 👏👏👏<br>¡ DURO CONTRA LOS CORRUPTOS 👏👏👏👏👍👍👍,3,2026-06-04T01:24:55Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@IsmaelGarciaMoreno-md7xk,"Excelente, si cometieron un delito que la cárcel sea su nueva casa.",2,2026-06-04T02:13:14Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@alinaarvizu1203,Pruebas y ala cárcel para eso quieren puesto en el gobierno para enriquecerse por generaciones y generaciones fuera PRIAN.,2,2026-06-03T23:40:57Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@edythorvenpuerta1425,EN AGUASCALIENTES OCURRE LO MISMO CON LA MISMA EMPRESA,0,2026-06-05T01:39:57Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@cesarchavez1739,"También Samuel García, papa y su esposa. Por otro lado Mr Botox, mamá, y socios. Tienen paraísos fiscales, desvíos, ratas, con impunidad, y sueldo.",1,2026-06-04T01:04:01Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@CesarPineda-sh1bm,QUE NO SE DETENGA LA JUSTICIA  ENCONTRA  DE LOS CORRUPTOS TRAIDORES  PRIANISTAS NADIE POR ENCIMA DE LA LEY,0,2026-06-04T02:27:47Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@adriansoto8409,"Por todo eso y mas ya no mas prian, 2027 y 2030 voto masivo a Morena!",0,2026-06-04T13:58:29Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@JesusGarcia-nf4yl,"Vayan por todos los corruptos, así debe de ser. Ese Adrian de la Garza trae una cola enorme no solo de corrupción si no también de asociación con Carteles como con los Zetas y el Cartel del Noreste.",0,2026-06-04T15:44:24Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@rickortiz6418,"Next Energy... Aguascalientes, Nuevo Leon... cuales estados mas ????",1,2026-06-04T00:00:18Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@lulumunozrivera3721,"QUE SE PROCEDA CONFORME A LAS LEYES DE NUESTRA CONSTITUCIÓN MEXICANA, <br>DECOMIZAR SUS BIENES, Y CUENTAS BANCARIAS. <br>DE NADA SIRVE UNA INFORMACIÓN, SI NO SE PROCEDE LEGALMENTE.",0,2026-06-04T03:50:23Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@nallelyvalenzuelarojas1618,Todo muy bien Morena pero que hace Clara ahí !!!!! si ella es PRIISTA de hueso colorado es dueña de todooo Escobedo ella y Abel 😡😡😡😡,1,2026-06-04T02:12:37Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@RosaElenaReyes-j5l,Adrian de la garza 🤮🤮🤮🤮🤮🤮,0,2026-06-04T16:04:37Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@adriansoto8409,Duro y a la cabeza al PRI!!,0,2026-06-04T13:58:03Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@SantiagoGarcia-ci6xu,Jajaja Morena denunciando corrupcion jajjaja,0,2026-06-04T04:00:04Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@JordiSal-p9q,Pero los hijos de AMLOOOOO!!! GRITARÁN inmediatamente la oposición <br>Sin mostrar NINGUNA prueba,0,2026-06-04T02:35:49Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@ArmandoGonzalezM,"MORENA escupiendo al cielo, podrán armar este mismo circo para pedir cuentas de  la Ajolotizacion en la CDMX? Naa eso jamás les es más fácil culpar a los demás.",0,2026-06-04T05:51:34Z,0
sB03OhEWqcs,MORENA DENUNCIA CORRUPCIÓN por IRREGULARIDADES del PRIISTA ADRIÁN de la GARZA,@vicentecedillo6176,ARRIBA MORENA Y CLAUDIA SHEINBAUM VIVA MÉXICO VIVA MÉXICO VIVA MÉXICO!!❤️,0,2026-06-04T13:47:15Z,0
